Company,Country,Year,Policy & Commitments Score,Traceability Score ,"Know, Show & Fix Score", Spotlight Issues Score,Fashion Transparency Index
Under Armour,United States,2020,6.806733087,2.6560046,2.063593641,1.020404641,1.739752417
Uniqlo Co.,Japan,2020,7.870592741,2.1512878,4.127002379,3.46941857,2.918980181
United Arrows,Japan,2020,3.084077752,0,0.1587341266,0.408176752,3.959505019
United Colors of Benetton,Italy,2020,8.402741966,7.3394482,3.650682551,2.040863141,0.6998102607
Urban Outfitters,United States,2020,3.50949557,3.2898916,0.7936706329,0.612303849,5.458962299
Valentino SpA,Italy,2020,3.509640936,0,0.6349365063,0.4081814041,2.019407467
Van Heusen,United States,2020,8.827776982,5.1877834,3.65070001,4.693919811,0.9798120508
Vans,United States,2020,8.827840556,8.0995492,2.698515068,3.67350327,5.378954313
Vero Moda,Denmark,2020,6.80689885,2.5295386,1.587223817,1.632645005,5.85913201
Victoria's Secret,United States,2020,5.104778222,1.26466,1.746010319,1.224400452,2.959002004
Walmart,United States,2020,7.870587061,0.1266846,2.539699202,1.632596031,2.119307955
Warehouse Group,New Zealand,2020,7.551253735,3.5427688,1.587308729,1.836631055,2.799703722
Woolworths Holdings Limited,South Africa,2020,5.637340386,0.1266846,1.111138886,2.040869038,3.41913213
Wrangler,United States,2020,8.827840556,8.0995492,2.698515068,3.67350327,1.939877657
Youngor,China,2020,0,0,0,0,2.586615342
Zalando SE,Germany,2020,8.402824438,2.9089366,2.222230157,2.857194088,2.588883979
Zara,Spain,2020,8.615331067,1.899039,3.968107152,4.489951648,2.591152616
Zeeman,Netherlands,2020,4.893140326,2.402854,1.428457946,1.836706559,2.593421253
,,,,,,,2.595689891
