Company,Country,Year,Accountability Score,Decarbonisation Score,Energy Procurement Score,Financing Decarbonisation Score,Just Transition and Advocacy Score,Traceability Score,Fashion Transparency Index
Capri Holdings Ltd (formerly Michael Kors),,2024,1.333333333,0.8888888889,2.444444444,2.666666667,0,0.8888888889,2.433333333
Carhartt Inc,,2024,0.6666666667,0.8888888889,0,0,0,0.8888888889,0.6
Carolina Herrera,,2024,0.1666666667,0,2,2.666666667,0,0,1.783333333
Caroll,,2024,0.1666666667,0,0,0,0,0,0.15
Carrefour S.A.,,2024,0.6666666667,0,0,2.666666667,0,0,0.9333333333
Carter's Inc,,2024,1.5,1.333333333,2,2.666666667,0,1.333333333,1.65
Celine,,2024,0.3333333333,0,5.555555556,2.666666667,0,0,2.733333333
Celio International,,2024,0,0,0,0,0,0,0
Champion,,2024,5.666666667,6.666666667,7.555555556,4.888888889,0,6.666666667,5.8
Chanel SA,,2024,0,0,0.4444444444,0,0,0,1
Chico's FAS Inc,,2024,0,0,0,3.333333333,0,0,0.5666666667
Children's Place Inc,,2024,0.6666666667,0,0,2.666666667,0,0,1.533333333
Chloe,,2024,3.666666667,4.444444444,2.444444444,3.555555556,0,4.444444444,2.466666667
Christian Dior,,2024,0.3333333333,0,5.555555556,2.666666667,0,0,2.733333333
Coach Stores Limited,,2024,2.5,2.444444444,2,2.666666667,0,2.444444444,2.283333333
Columbia Sportswear,,2024,4.666666667,6.222222222,0,2,0,6.222222222,1.1
Converse,,2024,5,5.777777778,2.444444444,4.666666667,0,5.777777778,4.1
Cortefiel SA,,2024,0.6666666667,0,2,2.666666667,0,0,1.966666667
Costco Wholesale,,2024,0.1666666667,0,2,2.666666667,0,0,1.65
Cotton on Group,,2024,2.166666667,1.777777778,0,0,0,1.777777778,1.016666667
Decathlon Group,,2024,0.6666666667,0,6,5.555555556,0,0,5.066666667
Deichmann SE,,2024,0,0,0,0,0,0,0.06666666667
Desigual,,2024,2.833333333,2.444444444,0,0,0,2.444444444,1.483333333
Dick's Sporting Goods,,2024,4.333333333,5.777777778,0,2.666666667,0,5.777777778,1.166666667
Diesel SpA,,2024,1.333333333,0,2,0,0,0,1.766666667
"Dillard's, Inc.",,2024,0,0,0,0,0,0,0.06666666667
DKNY,,2024,0,0,0,0,0,0,0
Dolce & Gabbana,,2024,0,0,2,0,0,0,0.6333333333
Dressmann,,2024,8.166666667,9.777777778,0,0,0,9.777777778,2.216666667
DSW Inc.,,2024,0,0,0,0,0,0,0.06666666667
Eddie Bauer,,2024,0,0,0,0,0,0,0.06666666667
El Corte Ingles S.A.,,2024,0,0,2,1.333333333,0,0,1.3
Ermenegildo Zegna,,2024,5.5,6.222222222,2,2.666666667,0,6.222222222,2.65
Esprit Holdings Limited,,2024,7.166666667,8.666666667,0,2.666666667,0,8.666666667,1.85
Express Inc,,2024,0.3333333333,0.4444444444,0,0,0,0.4444444444,0.1
F&F,,2024,2.666666667,3.111111111,2.444444444,3.555555556,0,3.111111111,2.3
Fabletics,,2024,0,0,0,0,0,0,0
Falabella,,2024,0,0,2,2.666666667,0,0,1.633333333
Famous Footwear,,2024,0.3333333333,0,0,0,0,0,0.3666666667
"Fanatics, Inc",,2024,1.666666667,2.222222222,0,0,0,2.222222222,0.5666666667
Fashion Nova,,2024,0,0,0,0,0,0,0
Fendi,,2024,5.333333333,5.777777778,5.555555556,2.666666667,0,5.777777778,3.233333333
FILA,,2024,0,0,0,1.333333333,0,0,0.6666666667
Foot Locker Inc.,,2024,0.1666666667,0,2,1.333333333,0,0,1.45
Forever 21,,2024,0,0,0,0,0,0,0
Foschini,,2024,0.6666666667,0,0,2.666666667,0,0,0.8
"Fossil Group, Inc.",,2024,0.6666666667,0.8888888889,2,2.666666667,0,0.8888888889,1.966666667
Free People,,2024,0.3333333333,0,0,0,0,0,0.2333333333
Fruit of the Loom,,2024,5,6.222222222,5.555555556,5.555555556,0,6.222222222,4.166666667
Furla,,2024,0,0,0,0,0,0,0.06666666667
G-star RAW,,2024,5.333333333,6.222222222,0,4.666666667,0,6.222222222,3.833333333
Gap inc.,,2024,5.166666667,6.222222222,4,4.666666667,0,6.222222222,3.55
George (brand),,2024,5,6.222222222,0,0,0,6.222222222,0.9666666667
Gerry Weber,,2024,0.3333333333,0,0,0,0,0,0.3666666667
Gianni Versace S.r.l.,,2024,1.333333333,0.8888888889,2.444444444,2.666666667,0,0.8888888889,2.433333333
Gildan Activewear Inc.,,2024,5.333333333,6.222222222,4,4.666666667,0,6.222222222,4.433333333
Giorgio Armani SpA,,2024,0,0,0,2.666666667,0,0,1.6
GU,,2024,5.166666667,6.222222222,2,2.666666667,0,6.222222222,2.883333333
Gucci,,2024,8.166666667,9.333333333,8,10,0,9.333333333,7.416666667
Guess? Inc,,2024,6,5.777777778,2,2.666666667,0,5.777777778,2.833333333
Gymshark Limited,,2024,4,4.888888889,0,0,0,4.888888889,1.133333333
H&M,,2024,8.5,9.777777778,4.444444444,10,10,9.777777778,6.083333333
Hanesbrands,,2024,5.666666667,6.666666667,7.555555556,4.888888889,0,6.666666667,5.8
Heilan Home,,2024,0,0,0,0,0,0,0
Helly Hansen AS,,2024,4.666666667,6.222222222,0,0,0,6.222222222,0.6
Hema,,2024,5,6.222222222,0,0,0,6.222222222,0.7
Hermes International,,2024,2,2.222222222,7.555555556,5.555555556,0,2.222222222,4.933333333
Hollister,,2024,4.666666667,5.777777778,0,2.666666667,0,5.777777778,1.8
Hudson's Bay Company,,2024,0.6666666667,0.8888888889,0,0,0,0.8888888889,0.1333333333
Hugo Boss AG,,2024,5.333333333,6.222222222,2.444444444,2.666666667,0,6.222222222,2.833333333
Intimissimi S.p.A,,2024,8.833333333,9.777777778,7.555555556,9.111111111,0,9.777777778,5.216666667
Ito Yokado,,2024,0.3333333333,0,0.4444444444,3.555555556,0,0,1.3
Jack & Jones,,2024,5.166666667,6.222222222,4,6.888888889,0,6.222222222,3.483333333
Jack Wolfskin,,2024,1.333333333,1.777777778,0,0,0,1.777777778,0.2
JD Sports Fashion plc,,2024,3.833333333,4,4.444444444,3.555555556,0,4,3.116666667
Jil Sander,,2024,1.333333333,0,2,0,0,0,1.766666667
Jockey International Inc,,2024,0,0,0,0,0,0,0.06666666667
Joe Fresh,,2024,1.166666667,0.8888888889,2,0,0,0.8888888889,0.75
John Lewis,,2024,1.5,1.333333333,0,2.666666667,0,1.333333333,0.95
Jordan (Brand),,2024,5,5.777777778,2.444444444,4.666666667,0,5.777777778,4.1
K-Way,,2024,0,0,0,0,0,0,0.06666666667
Kate Spade & Company,,2024,2.5,2.444444444,2,2.666666667,0,2.444444444,2.283333333
Kathmandu Holdings Ltd,,2024,6.333333333,6.222222222,0,4.666666667,0,6.222222222,2.533333333
Kaufland,,2024,0.6666666667,0.8888888889,0,0,0,0.8888888889,1.266666667
Kiabi,,2024,1.833333333,1.333333333,0,0,0,1.333333333,0.7833333333
KiK Textilien und Non-Food GmbH,,2024,1.333333333,1.777777778,0,4.666666667,0,1.777777778,1.766666667
Kmart Australia,,2024,8.833333333,9.777777778,2,3.555555556,0,9.777777778,2.583333333
Kmart Corporation,,2024,0,0,0,0,0,0,0.06666666667
Kohl's,,2024,0.5,0,2,2.666666667,0,0,1.683333333
Koovs,,2024,0,0,0,0,0,0,0
La Redoute,,2024,0,0,0,0,0,0,0.06666666667
