Company,Country,Year,Traceability Score,Policy & Commitments Score,"Know, Show & Fix Score",Spotlight Issues Score,Fashion Transparency Index
Sak's Fifth Avenue,United States,2022,0,3.33341958,0,0.6024789788,0
Salvatore Ferragamo SpA,Italy,2022,0.1369863014,7.575773893,4,2.168956444,4
Sandro,France,2022,0,3.485011655,0,0.4818916235,0
Semir,China,2022,0,0.151515152,0,0,0
Shein,China,2022,0,1.363741259,0,0,0
"Shimamura Co., Ltd.",Japan,2022,0,1.363606061,0,0.4819605989,0
Skechers USA Inc,United States,2022,0,3.333270396,0,0.1204281428,0
Smart Bazaar,India,2022,0,0,0,0,0
SOK S Group,Finland,2022,1.369863014,6.818235431,0,1.927764411,0
Speedo International Limited,United Kingdom,2022,5.616438356,7.121263403,8,3.252763135,8
Splash,United Arab Emirates,2022,0,0,0,0,0
Sports Direct,United Kingdom,2022,0,2.272783217,0,0.6025674867,0
Steve Madden,United States,2022,0,5.227314685,0,1.20471139,0
Stradivarius,Spain,2022,0.1369863014,9.015188811,8,5.421631094,8
Superdry plc,United Kingdom,2022,0.1369863014,9.090911422,8,5.180703098,8
Takko Holding GmbH,Germany,2022,0.1369863014,3.106114219,0,0.6023227608,0
Target,United States,2022,2.739726028,8.181853147,2,3.373544672,2
Target Australia,Australia,2022,9.178082192,8.484855478,10,6.385456847,10
Tchibo GmbH,Germany,2022,4.520547945,8.106102564,2,3.132845185,2
Ted Baker,United Kingdom,2022,2.876712329,5.227342657,2,2.0483218,2
Tezenis,Italy,2022,9.726027397,5.075778555,0,4.096567376,0
The North Face Inc.,United States,2022,8.219178083,9.242428904,6,4.69865407,6
The Timberland Company,United States,2022,8.219178083,9.242428904,6,4.69865407,6
The Very Group,United Kingdom,2022,2.465753425,5.378890443,0,0.8434672631,0
The Walt Disney Company,United States,2022,1.643835617,4.01520979,2,0.6023849279,2
TJ Maxx,United States,2022,0,5.075846154,0,0.8434288138,0
TOD'S,Italy,2022,0,3.560701632,0,0.6025119212,0
Tom Ford International LLC,United States,2022,0,0.151515152,0,0,0
Tom Tailor,Germany,2022,6.164383562,6.969706294,2,2.650683004,2
Tommy Bahama,United States,2022,0,2.045433566,0,0.2410241024,0
Tommy Hilfiger Inc.,United States,2022,7.123287672,8.712153846,4,3.49380091,4
Topvalu,Japan,2022,0,6.287890443,0,1.44600926,0
Tory Burch LLC,United States,2022,0,0.378787879,0,0,0
Triumph International,Switzerland,2022,0,2.045540793,0,0.1204281428,0
Truworths,South Africa,2022,0,0.984848485,0,0.4819572866,0
UGG,United States,2022,9.315068494,6.363692308,0,4.096304302,0
Under Armour,United States,2022,2.465753425,4.469785548,0,0.7229647215,0
Uniqlo Co.,Japan,2022,3.97260274,7.727286713,6,4.819193019,6
United Arrows,Japan,2022,0,4.242487179,0,0.6023784197,0
United Colors of Benetton,Italy,2022,9.178082192,9.090913753,8,4.096225098,8
Urban Outfitters,United States,2022,0.1369863014,3.257641026,0,1.686587276,0
Valentino SpA,Italy,2022,0,2.196916084,0,0,0
Van Heusen,United States,2022,0,0.53030303,0,0,0
Vans,United States,2022,8.219178083,9.242428904,6,4.337264396,6
Vero Moda,Denmark,2022,3.97260274,6.893983683,2,3.011984355,2
Victoria's Secret,United States,2022,1.917808219,5.984867133,0,0.3613170317,0
Walmart,United States,2022,0,7.121118881,8,2.168545408,8
Warehouse Group,New Zealand,2022,2.739726028,7.424261072,0,0.9638989688,0
Woolworths Holdings Limited,South Africa,2022,1.369863014,7.575799534,0,2.048103761,0
Wrangler,United States,2022,4.657534247,8.25758042,8,3.252950391,8
Youngor,China,2022,0,0,0,0,0
Zalando SE,Germany,2022,4.931506849,6.969710956,0,3.614642739,0
Zara,Spain,2022,0.1369863014,9.015188811,8,5.421631094,8
Zeeman,Netherlands,2022,7.94520548,7.575769231,8,3.493895479,8
