Company,Country,Year,Traceability Score,Policy & Commitments Score,"Know, Show & Fix Score",Spotlight Issues Score,Fashion Transparency Index
The Timberland Company,United States,2021,8.365482134,0.2410341684,5.319264433,4.698666345,6.566167601
The Very Group,United Kingdom,2021,2.027104982,1.807225036,1.702035867,1.084329579,2.279992467
The Walt Disney Company,United States,2021,1.89196465,0,2.765686017,0.481872965,2.049962383
TJ Maxx,United States,2021,0,1.566029879,0.851009833,0.843344544,1.299990289
TOD'S,Italy,2021,0,0,1.489342917,1.325271114,1.359976425
Tom Ford International LLC,United States,2021,0,0.6025578458,0,0,0.02
Tom Tailor,Germany,2021,6.898573879,0.1205120512,2.978705842,1.807165923,4.231944831
Tommy Bahama,United States,2021,0,3.132471733,0.638372667,0.240907331,0.559991911
Tommy Hilfiger Inc.,United States,2021,7.123551382,0.8432026213,5.106506458,4.216745474,5.888562536
Topman,United Kingdom,2021,4.195767236,3.734944849,1.702016292,0.722882684,2.711909368
Topshop,United Kingdom,2021,4.195767236,5.30112614,1.702016292,0.722882684,2.711909368
Topvalu,Japan,2021,0,0.6024789788,1.914973808,1.204821752,1.640026463
Tory Burch LLC,United States,2021,0,2.168956444,0,0,0.04
Triumph International,Switzerland,2021,0,0.4818916235,1.489637167,0,0.580063172
Truworths,South Africa,2021,0,0,0.85123525,0.602324019,1.070034162
UGG,United States,2021,9.729719336,0,2.340143533,3.25284792,5.449894853
Under Armour,United States,2021,5.07581352,0.4819605989,2.127490167,0.722818041,2.151888897
Uniqlo Co.,Japan,2021,3.249784912,0.1204281428,4.255421267,3.252849862,4.211885582
United Arrows,Japan,2021,0,0,0.638303833,0.602361204,0.869978887
United Colors of Benetton,Italy,2021,8.481371643,1.927764411,4.042496375,3.734815398,5.960421318
Urban Outfitters,United States,2021,0,3.252763135,1.4893825,1.807120746,1.569962253
Valentino SpA,Italy,2021,0,0,1.276509583,0.240912983,0.809939833
Van Heusen,United States,2021,7.123551382,0.6025674867,5.106506458,4.216745474,5.888562536
Vans,United States,2021,9.166671329,1.20471139,5.319264433,4.457719166,6.486173137
Vero Moda,Denmark,2021,2.574083251,5.421631094,1.489264842,1.566172186,2.561871392
Victoria's Secret,United States,2021,2.56766631,5.180703098,2.127568675,0.481856931,2.159993666
Walmart,United States,2021,0.141557273,0.6023227608,3.191447617,1.80719582,2.571889912
Warehouse Group,New Zealand,2021,2.432525978,3.373544672,2.127512892,1.084295122,2.719990607
Woolworths Holdings Limited,South Africa,2021,0.141557273,6.385456847,2.127709058,2.289027757,2.441878343
Wrangler,United States,2021,4.594771292,3.132845185,1.063843167,2.289065596,3.420011159
Youngor,China,2021,0,2.0483218,0,0,0
Zalando SE,Germany,2021,5.006609229,4.096567376,2.765879033,3.37343764,4.491937144
Zara,Spain,2021,0.141557273,4.69865407,3.403980175,4.216667216,3.581788998
Zeeman,Netherlands,2021,4.195767236,4.69865407,2.978676592,2.289246257,3.761983855
